# Filename: 022421_Aer_AW_15N2H_BL21_150K_DEER_5000ns.DSC_db6_symmetric_denoised.txt
# Bckg_type: poly2_0.9_0.75
# FirstColumn: Time[us]
# SecondColumn: BckgSubtractedData
0.00000e+00	8.006224435450678e-02
1.60000e-02	7.980454337209658e-02
3.20000e-02	7.936031122232459e-02
4.80000e-02	7.879638742330292e-02
6.40000e-02	7.808146612470476e-02
8.00000e-02	7.719820920637158e-02
9.60000e-02	7.613911959740242e-02
1.12000e-01	7.488357251756558e-02
1.28000e-01	7.345253202756508e-02
1.44000e-01	7.187007185294327e-02
1.60000e-01	7.009026638301968e-02
1.76000e-01	6.811882280459948e-02
1.92000e-01	6.597040531939660e-02
2.08000e-01	6.363336309400751e-02
2.24000e-01	6.122647440579684e-02
2.40000e-01	5.881394426120520e-02
2.56000e-01	5.634943925678707e-02
2.72000e-01	5.382773734256600e-02
2.88000e-01	5.119249171643169e-02
3.04000e-01	4.840605840405091e-02
3.20000e-01	4.554775101134528e-02
3.36000e-01	4.269468298191875e-02
3.52000e-01	3.985165039455244e-02
3.68000e-01	3.705276434551825e-02
3.84000e-01	3.435122396738257e-02
4.00000e-01	3.177534028723118e-02
4.16000e-01	2.941855343598464e-02
4.32000e-01	2.732590850000648e-02
4.48000e-01	2.548248116509465e-02
4.64000e-01	2.388600906034559e-02
4.80000e-01	2.247302315196259e-02
4.96000e-01	2.120598189829272e-02
5.12000e-01	2.009971869083325e-02
5.28000e-01	1.914997006611866e-02
5.44000e-01	1.837662929950996e-02
5.60000e-01	1.779100406269458e-02
5.76000e-01	1.734976208071482e-02
5.92000e-01	1.701069982531376e-02
6.08000e-01	1.676579632078223e-02
6.24000e-01	1.659368152741900e-02
6.40000e-01	1.646371123604045e-02
6.56000e-01	1.635705763676653e-02
6.72000e-01	1.622556046908223e-02
6.88000e-01	1.604355210369519e-02
7.04000e-01	1.581309554754340e-02
7.20000e-01	1.553111867513979e-02
7.36000e-01	1.522250563219820e-02
7.52000e-01	1.489999567831052e-02
7.68000e-01	1.455437960821877e-02
7.84000e-01	1.418532763069383e-02
8.00000e-01	1.377884334801443e-02
8.16000e-01	1.332664739662722e-02
8.32000e-01	1.284612472260110e-02
8.48000e-01	1.235289594571680e-02
8.64000e-01	1.185156742620760e-02
8.80000e-01	1.135172656857364e-02
8.96000e-01	1.086166662722542e-02
9.12000e-01	1.038589795974876e-02
9.28000e-01	9.943788923949344e-03
9.44000e-01	9.543126489433064e-03
9.60000e-01	9.183067773658467e-03
9.76000e-01	8.866453883735028e-03
9.92000e-01	8.575297552812885e-03
1.00800e+00	8.300706737458956e-03
1.02400e+00	8.049733078989242e-03
1.04000e+00	7.822756673286224e-03
1.05600e+00	7.630873777915337e-03
1.07200e+00	7.480589092062709e-03
1.08800e+00	7.359040601501348e-03
1.10400e+00	7.254957598360971e-03
1.12000e+00	7.164482497149184e-03
1.13600e+00	7.080114043512740e-03
1.15200e+00	6.996548560122468e-03
1.16800e+00	6.911051817905049e-03
1.18400e+00	6.808979906186116e-03
1.20000e+00	6.684800779113891e-03
1.21600e+00	6.539010491760218e-03
1.23200e+00	6.368796316868081e-03
1.24800e+00	6.188868902225099e-03
1.26400e+00	6.006547470313984e-03
1.28000e+00	5.814940994060353e-03
1.29600e+00	5.612766915099802e-03
1.31200e+00	5.391077512066308e-03
1.32800e+00	5.143964138368851e-03
1.34400e+00	4.881572030477686e-03
1.36000e+00	4.613347413905619e-03
1.37600e+00	4.340294839194145e-03
1.39200e+00	4.067211238287446e-03
1.40800e+00	3.799619137115211e-03
1.42400e+00	3.540123243203247e-03
1.44000e+00	3.301182061653465e-03
1.45600e+00	3.088087419867790e-03
1.47200e+00	2.898877933142818e-03
1.48800e+00	2.734060408643229e-03
1.50400e+00	2.582935192559574e-03
1.52000e+00	2.439319801930876e-03
1.53600e+00	2.307239713768477e-03
1.55200e+00	2.187179466722779e-03
1.56800e+00	2.082982950811130e-03
1.58400e+00	1.997637176775576e-03
1.60000e+00	1.924105036421959e-03
1.61600e+00	1.855099869559355e-03
1.63200e+00	1.791614083937308e-03
1.64800e+00	1.731297716706515e-03
1.66400e+00	1.668302660909206e-03
1.68000e+00	1.599688213813104e-03
1.69600e+00	1.516170341965009e-03
1.71200e+00	1.412647195253459e-03
1.72800e+00	1.291609572387682e-03
1.74400e+00	1.154265017913913e-03
1.76000e+00	1.004978993571486e-03
1.77600e+00	8.473741765634695e-04
1.79200e+00	6.801477829292710e-04
1.80800e+00	5.029689529322670e-04
1.82400e+00	3.176875880348360e-04
1.84000e+00	1.243034639665736e-04
1.85600e+00	-7.477318678673678e-05
1.87200e+00	-2.756380838421834e-04
1.88800e+00	-4.823508480504908e-04
1.90400e+00	-6.960908526978172e-04
1.92000e+00	-9.110990608448026e-04
1.93600e+00	-1.124467970683020e-03
1.95200e+00	-1.331075927465616e-03
1.96800e+00	-1.526197407576326e-03
1.98400e+00	-1.713289978872571e-03
2.00000e+00	-1.895797167444690e-03
2.01600e+00	-2.070154827902510e-03
2.03200e+00	-2.236956797697728e-03
2.04800e+00	-2.397838375804227e-03
2.06400e+00	-2.552051781303348e-03
2.08000e+00	-2.709101318453157e-03
2.09600e+00	-2.872667437137177e-03
2.11200e+00	-3.038621394711873e-03
2.12800e+00	-3.206496246159987e-03
2.14400e+00	-3.367000760897208e-03
2.16000e+00	-3.513085458780723e-03
2.17600e+00	-3.651501746686430e-03
2.19200e+00	-3.785895407887614e-03
2.20800e+00	-3.914610637402736e-03
2.22400e+00	-4.041629055729828e-03
